Source,Unknown
Scale,Unknown
Digitized,Unknown
Disclaimer,"The boundaries and name of PBT has been cross-referenced with Jabatan Pengairan dan Saliran PDFs. However, the boundaries of Majlis Bandaraya Melaka Bersejarah and Hang Tuan Jaya is conflicting with the official planning maps of Majlis Bandaraya Melaka Bersejarah. Users are to exercise their own discretion"
